url,fetched_at,status,property_name,location,station_walk,built_ym,exclusive_area_sqm,layout,price_jpy
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77820889/,2025-09-18T23:25:52.956954,200,キャピタルゲートプレイス　ザ・タワー,東京都中央区月島１-5-1,徒歩1分,2015年7月,40.23㎡,1LDK+S（納戸）,1900万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78322825/,2025-09-18T23:25:54.188691,200,銀座タワー,東京都中央区銀座１,徒歩3分,2003年7月,73.81㎡,2LDK,2000万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78212155/,2025-09-18T23:25:55.680400,200,イニシア築地レジデンス,東京都中央区築地７,徒歩7分,2021年2月,54.11㎡,2LDK,2400万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78290080/,2025-09-18T23:25:56.979572,200,アルティザ東銀座,東京都中央区築地１,徒歩1分,2015年9月,50.06㎡,2LDK,2480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78356544/,2025-09-18T23:25:58.341360,200,晴海アイランドトリトンスクエアビュータワー１号棟,東京都中央区晴海１,徒歩7分,1998年2月,69.86㎡,2LDK+S（納戸）,2490万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78193588/,2025-09-18T23:25:59.468714,200,晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１,徒歩7分,1998年2月,69.86㎡,2LDK+S（納戸）,2490万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78113126/,2025-09-18T23:26:00.509831,200,ライオンズマンション勝どき,東京都中央区勝どき２,徒歩2分,1999年1月,65.55㎡,3LDK,2499万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77873682/,2025-09-18T23:26:01.944748,200,プラネ勝どき,東京都中央区勝どき５,徒歩8分,2005年1月,69.02㎡,3LDK,2500万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78353295/,2025-09-18T23:26:03.151383,200,シティフロントタワー,東京都中央区佃１,徒歩7分,1991年8月,80.52㎡,2LDK+S（納戸）,2500万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78357781/,2025-09-18T23:26:04.311740,200,シティハイツ東京日本橋,東京都中央区新川１,徒歩7分,1997年3月,67.86㎡,3LDK,2500万円
